;Berlin;Hamburg;Munich;Cologne;Frankfurt;Stuttgart;Düsseldorf;Leipzig;Dortmund;Essen;Bremen;Dresden;Hanover;Nuremberg;Duisburg;Bochum;Wuppertal;Bielefeld;Bonn;Münster;Karlsruhe;Mannheim;Augsburg;Wiesbaden;Gelsenkirchen;Mönchengladbach;Braunschweig;Chemnitz;Kiel;Aachen;Halle;Magdeburg;Freiburg;Krefeld;Lübeck;Oberhausen;Erfurt;Mainz;Rostock;Kassel;Hagen;Hamm;Saarbrücken;Herne;Mülheim;Potsdam;Ludwigshafen;Oldenburg;Leverkusen;Osnabrück
Berlin;0.0;254.8;504.4;477.3;423.5;511.6;477.2;149.1;421.5;453.3;315.6;165.0;249.4;378.0;470.5;439.0;451.5;335.9;478.1;398.3;525.4;482.6;494.3;450.0;446.4;500.6;197.3;191.1;295.8;540.8;150.4;128.7;639.2;485.5;234.9;461.8;236.3;455.6;195.2;300.8;426.8;393.2;578.5;438.2;463.0;27.2;484.5;355.4;468.7;364.4
Hamburg;254.8;0.0;612.2;356.6;393.0;533.9;338.5;293.7;284.0;308.4;95.3;376.5;131.8;461.7;321.5;297.2;320.0;195.7;370.1;238.2;517.2;464.0;579.3;404.5;299.8;357.3;146.8;362.3;86.4;408.0;264.3;192.9;635.5;337.6;57.2;311.7;293.7;413.5;150.4;251.3;297.4;255.5;522.4;293.2;317.2;242.3;465.4;126.8;344.3;192.6
Munich;504.4;612.2;0.0;456.3;304.6;190.7;487.6;360.8;477.7;493.7;583.6;359.4;489.5;151.1;504.1;486.3;471.0;484.6;434.4;510.5;253.1;273.2;57.0;325.3;495.3;501.3;465.7;314.7;695.5;493.9;374.8;443.2;278.3;505.6;640.3;504.1;319.4;318.9;663.4;384.3;465.4;477.0;358.2;491.5;496.9;484.8;273.9;605.3;461.3;524.9
Cologne;477.3;356.6;456.3;0.0;152.5;288.4;34.8;380.2;73.1;57.7;269.4;474.3;249.2;336.3;56.9;63.1;37.9;163.1;24.3;122.8;238.2;193.6;402.2;131.6;65.1;45.1;287.3;418.3;432.7;64.1;354.3;348.6;332.9;51.7;412.1;62.5;285.0;139.0;493.7;180.7;59.3;101.2;188.7;68.7;53.8;450.8;193.7;259.9;12.7;167.1
Frankfurt;423.5;393.0;304.6;152.5;0.0;152.8;183.1;293.5;177.9;190.1;330.2;371.8;262.2;186.9;199.7;184.0;166.9;213.7;132.1;218.5;124.4;71.0;251.6;31.8;192.5;197.7;272.2;310.4;478.5;198.3;277.6;303.6;242.7;201.0;439.4;200.1;192.2;33.7;500.3;145.0;163.9;184.1;155.2;189.6;192.7;396.5;72.5;338.7;156.8;245.2
Stuttgart;511.6;533.9;190.7;288.4;152.8;0.0;322.4;364.8;328.1;335.8;479.3;412.6;402.2;157.0;342.3;331.9;311.7;364.8;264.6;370.9;62.5;94.8;134.0;160.1;339.5;331.4;399.8;352.1;620.3;314.5;361.8;410.2;131.4;340.0;575.5;344.7;279.0;151.3;624.6;282.9;313.2;336.6;167.6;337.8;336.5;486.3;94.7;490.4;296.2;397.8
Düsseldorf;477.2;338.5;487.6;34.8;183.1;322.4;0.0;389.5;57.6;30.3;248.0;486.1;240.1;363.6;23.0;41.8;26.5;150.7;59.1;100.6;272.9;227.7;434.1;164.4;38.9;23.6;283.1;432.1;411.3;69.7;361.9;349.1;367.2;18.0;394.9;30.5;298.4;172.2;479.8;188.5;50.4;87.6;221.6;45.4;22.6;451.3;227.9;234.6;26.5;146.2
Leipzig;149.1;293.7;360.8;380.2;293.5;364.8;389.5;0.0;340.8;372.1;310.8;100.4;214.9;229.1;389.4;357.9;363.1;275.6;374.8;334.6;383.6;345.0;346.7;323.0;367.0;412.9;163.7;68.6;364.5;443.9;33.0;100.9;494.1;401.9;303.0;382.3;101.6;327.0;306.6;201.1;340.9;317.6;447.5;359.1;380.9;126.1;346.9;346.9;374.4;315.2
Dortmund;421.5;284.0;477.7;73.1;177.9;328.1;57.6;340.8;0.0;32.1;196.4;439.1;182.6;343.2;49.5;17.6;36.0;93.2;90.0;50.9;286.6;236.1;427.1;168.6;26.3;80.1;226.2;387.9;359.6;126.6;311.7;293.9;391.7;64.0;339.8;41.7;254.9;177.8;423.2;141.5;16.3;30.0;255.0;18.5;41.6;395.8;236.8;188.3;60.6;94.1
Essen;453.3;308.4;493.7;57.7;190.1;335.8;30.3;372.1;32.1;0.0;217.8;470.1;212.8;363.9;17.4;14.5;24.2;122.7;80.1;70.3;289.7;241.8;441.6;175.8;8.6;50.0;257.7;418.0;381.0;99.6;343.3;325.9;389.0;32.3;364.9;11.2;284.7;184.4;450.5;172.0;32.8;60.6;246.3;15.9;9.7;427.8;242.2;204.7;45.6;116.0
